text,lean,pred,prob
martin josh,pos,1,0.9690102934837341
martin sunday,pos,1,0.6302523612976074
martin steven,pos,1,0.9825965166091919
martin san,pos,1,0.9549130201339722
martin gore,pos,1,0.9778811931610107
martin dutch,pos,1,0.9288434982299805
martin washington,pos,1,0.9300654530525208
martin kerry,pos,1,0.9909353852272034
martin conway,pos,1,0.9480430483818054
martin milo,pos,1,0.6075528860092163
martin jeff,pos,1,0.8948152661323547
martin maher,pos,1,0.8556705713272095
martin alaska,pos,1,0.9898896217346191
martin michelle,pos,1,0.8639791011810303
martin justin,pos,1,0.9545716047286987
martin melania,pos,1,0.8386685848236084
martin chelsea,pos,1,0.9939824342727661
martin warren,pos,1,0.9617190361022949
martin ap,pos,1,0.6911976337432861
martin berkeley,pos,1,0.9752297401428223
martin jay,pos,1,0.9799214005470276
martin gen,pos,1,0.9833383560180664
martin kaepernick,pos,1,0.9661763906478882
martin weekdays,pos,1,0.9422763586044312
martin 0,pos,1,0.9963652491569519
martin com,pos,0,0.3464723229408264
martin tournament,pos,1,0.952985942363739
martin doping,pos,1,0.9737124443054199
martin soccer,pos,1,0.9383216500282288
martin basketball,pos,1,0.8578178882598877
martin museum,pos,1,0.7866694927215576
martin gunman,pos,1,0.9566412568092346
martin cellphone,pos,1,0.6981112957000732
martin championship,pos,1,0.9832251071929932
martin dean,pos,1,0.9355917572975159
martin anonymity,pos,1,0.9613499641418457
martin 125,pos,1,0.9724740386009216
martin travelers,pos,1,0.957668662071228
martin recalled,pos,1,0.9152514934539795
martin coach,pos,1,0.7524985074996948
martin restaurants,pos,1,0.9646839499473572
martin athletes,pos,1,0.9796178340911865
martin chancellor,pos,1,0.9429821372032166
martin briefing,pos,1,0.7602742314338684
martin sport,pos,0,0.43953821063041687
martin album,pos,1,0.9387357234954834
martin subway,pos,1,0.9368727207183838
martin downtown,pos,1,0.9702995419502258
martin tennis,pos,1,0.9706286191940308
martin mike,pos,1,0.9746770858764648
martin counterterrorism,pos,1,0.9687072038650513
martin senators,pos,1,0.9619781374931335
martin visas,pos,1,0.9736557006835938
martin studio,pos,1,0.9843026995658875
martin caucus,pos,1,0.8975375890731812
martin struggled,pos,1,0.9654545783996582
martin wore,pos,1,0.9793994426727295
martin gray,pos,1,0.8747009038925171
martin actress,pos,1,0.9162532091140747
martin comedy,pos,1,0.7635473012924194
martin barred,pos,1,0.9678344130516052
martin episodes,pos,1,0.7411786317825317
martin stadium,pos,1,0.9662566184997559
martin apartment,pos,1,0.9001723527908325
martin dance,pos,1,0.9458103179931641
